user,trip,overspeed
0WVbkZqJA0gKSdTFxvTHBoLIov02,1599471341621 ,19
0WVbkZqJA0gKSdTFxvTHBoLIov02,1599525595298 ,24
0WVbkZqJA0gKSdTFxvTHBoLIov02,1599560772361 ,14
0WVbkZqJA0gKSdTFxvTHBoLIov02,1599610278848 ,20
0WVbkZqJA0gKSdTFxvTHBoLIov02,1599647072756 ,11
0WVbkZqJA0gKSdTFxvTHBoLIov02,1599696028730 ,15
0WVbkZqJA0gKSdTFxvTHBoLIov02,1599730603629 ,0
0WVbkZqJA0gKSdTFxvTHBoLIov02,1599733233957 ,0
0WVbkZqJA0gKSdTFxvTHBoLIov02,1599782663419 ,14
0WVbkZqJA0gKSdTFxvTHBoLIov02,1599819706117 ,18
0WVbkZqJA0gKSdTFxvTHBoLIov02,1599851947612 ,121
0WVbkZqJA0gKSdTFxvTHBoLIov02,1599917917123 ,200
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600042802888 ,16
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600094147475 ,26
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600130044098 ,15
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600214684018 ,9
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600249415022 ,13
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600301624107 ,13
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600326527096 ,12
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600387752153 ,22
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600427523390 ,51
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600647085274 ,11
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600684652473 ,8
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600733099334 ,12
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600769353827 ,8
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600819584837 ,12
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600849827557 ,13
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600905749489 ,14
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600941376625 ,17
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600992776204 ,13
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601027845931 ,2
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601030838492 ,13
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601068877677 ,5
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601102893640 ,100
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601193629432 ,38
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601217506410 ,24
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601251760769 ,9
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601293198517 ,8
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601325631700 ,18
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601349429178 ,17
