,predict,target
1670,89.0,89.0
4943,77.0,77.0
5743,87.0,87.0
4197,91.0,91.0
1484,81.0,81.0
1343,89.0,89.0
2951,91.0,91.0
4853,94.0,94.0
5787,76.0,75.0
6284,99.0,99.0
751,67.0,67.0
2249,84.0,84.0
1008,94.0,94.0
3402,80.0,80.0
472,86.0,85.0
4184,85.0,85.0
6201,94.0,94.0
3736,99.0,99.0
3774,98.0,98.0
5059,99.0,99.0
3978,89.0,89.0
6060,92.0,92.0
2048,96.0,96.0
2888,84.0,84.0
439,81.0,81.0
263,84.0,84.0
6510,93.0,93.0
5904,88.0,88.0
1715,86.0,85.0
5065,98.0,98.0
6589,94.0,94.0
6085,65.0,64.0
7447,74.0,74.0
7449,72.0,72.0
4443,83.0,83.0
121,98.0,98.0
1578,93.0,93.0
2611,86.0,86.0
7827,81.0,81.0
6339,90.0,90.0
7102,70.0,70.0
4166,89.0,89.0
2782,92.0,92.0
6228,95.0,95.0
496,75.0,74.0
3687,84.0,84.0
5694,80.0,80.0
