,predict,target
4269,85.0,84.0
3302,89.0,88.0
3225,88.0,87.0
4951,98.0,98.0
3428,86.0,86.0
5578,92.0,91.0
3558,100.0,100.0
5378,93.0,92.0
2923,90.0,89.0
800,69.0,70.0
6920,85.0,84.0
1564,90.0,90.0
2579,93.0,93.0
7041,72.0,73.0
882,78.0,79.0
2103,97.0,97.0
5320,88.0,87.0
7105,90.0,91.0
3635,75.0,77.0
5387,96.0,96.0
2060,90.0,90.0
2229,91.0,91.0
7697,86.0,85.0
1585,94.0,93.0
4715,96.0,96.0
3407,88.0,87.0
4059,85.0,80.0
1364,80.0,78.0
7173,98.0,98.0
3261,91.0,90.0
2459,88.0,87.0
7353,94.0,93.0
3925,86.0,86.0
3251,88.0,87.0
5671,77.0,79.0
4884,89.0,89.0
5917,69.0,67.0
287,55.0,57.0
1856,86.0,86.0
2648,96.0,95.0
14,89.0,90.0
5716,86.0,85.0
5255,90.0,89.0
1831,84.0,86.0
912,74.0,75.0
5622,100.0,100.0
7501,82.0,82.0
3363,84.0,84.0
6541,96.0,96.0
3239,88.0,87.0
3810,80.0,79.0
5279,90.0,89.0
559,83.0,85.0
138,77.0,77.0
1768,94.0,94.0
2645,93.0,94.0
7784,84.0,85.0
4492,72.0,75.0
4431,82.0,81.0
6773,65.0,66.0
4285,83.0,84.0
4617,89.0,90.0
6139,73.0,67.0
3620,79.0,78.0
1921,83.0,83.0
7124,98.0,98.0
3864,85.0,84.0
6903,94.0,94.0
2972,95.0,95.0
7536,71.0,64.0
2768,84.0,85.0
7855,94.0,95.0
4938,95.0,94.0
6436,95.0,96.0
4258,90.0,90.0
2491,86.0,88.0
393,86.0,86.0
3586,79.0,76.0
6033,93.0,92.0
2694,96.0,96.0
6305,97.0,97.0
4700,85.0,85.0
831,93.0,94.0
7553,79.0,78.0
420,58.0,48.0
6424,88.0,89.0
2549,76.0,73.0
1751,86.0,86.0
5669,81.0,81.0
194,84.0,84.0
290,89.0,89.0
6785,73.0,70.0
7806,83.0,83.0
3267,90.0,89.0
5673,77.0,79.0
4554,82.0,81.0
4472,55.0,59.0
963,90.0,90.0
4216,89.0,88.0
1888,86.0,85.0
2359,93.0,93.0
5227,80.0,81.0
5546,93.0,93.0
7017,95.0,94.0
6518,93.0,92.0
1573,91.0,91.0
6195,97.0,97.0
159,81.0,80.0
5198,73.0,73.0
1259,95.0,96.0
3497,93.0,93.0
1398,76.0,76.0
2708,100.0,100.0
2658,100.0,100.0
2602,93.0,93.0
1399,85.0,86.0
2702,95.0,95.0
227,84.0,80.0
6462,96.0,96.0
1357,86.0,87.0
1829,59.0,59.0
634,80.0,63.0
6570,61.0,55.0
4639,89.0,88.0
747,55.0,55.0
3176,99.0,98.0
191,86.0,85.0
4727,90.0,91.0
1513,87.0,86.0
530,91.0,91.0
7347,82.0,80.0
1867,83.0,82.0
2728,98.0,98.0
1411,56.0,57.0
6483,97.0,97.0
291,65.0,62.0
2081,93.0,94.0
1906,92.0,91.0
4595,81.0,81.0
3461,98.0,98.0
1334,83.0,85.0
4098,99.0,99.0
2318,95.0,94.0
1457,60.0,61.0
7077,91.0,92.0
5875,99.0,99.0
5087,95.0,96.0
2378,87.0,86.0
5193,91.0,91.0
48,54.0,54.0
2686,98.0,98.0
6937,69.0,72.0
6705,91.0,90.0
321,95.0,95.0
5515,93.0,93.0
4910,73.0,70.0
7220,85.0,86.0
1284,91.0,91.0
6888,85.0,83.0
4008,87.0,85.0
1917,91.0,91.0
5859,99.0,99.0
4625,98.0,97.0
840,86.0,86.0
4045,78.0,78.0
2423,79.0,79.0
667,96.0,96.0
7755,92.0,92.0
5916,62.0,56.0
1771,93.0,92.0
5898,98.0,98.0
3937,95.0,95.0
5951,96.0,96.0
2916,91.0,91.0
5845,97.0,97.0
4743,96.0,96.0
5105,90.0,91.0
133,85.0,85.0
1540,93.0,93.0
5152,99.0,99.0
6211,94.0,95.0
6406,93.0,93.0
1881,75.0,73.0
1788,85.0,86.0
3243,90.0,90.0
4713,80.0,79.0
124,90.0,91.0
7865,77.0,78.0
1278,89.0,89.0
3222,93.0,93.0
4127,98.0,98.0
3848,86.0,86.0
7892,73.0,73.0
4908,64.0,66.0
7419,80.0,77.0
1514,78.0,79.0
6349,88.0,86.0
7027,68.0,66.0
6769,90.0,91.0
6217,99.0,99.0
2412,85.0,83.0
976,91.0,90.0
6571,83.0,83.0
6535,96.0,96.0
4494,92.0,93.0
3957,68.0,66.0
4063,83.0,83.0
7862,89.0,90.0
7461,79.0,73.0
843,90.0,90.0
7417,75.0,68.0
1983,76.0,76.0
4970,84.0,84.0
5982,90.0,91.0
5284,83.0,85.0
1051,90.0,90.0
3235,86.0,84.0
4995,89.0,89.0
7860,79.0,79.0
1750,80.0,77.0
3628,66.0,66.0
475,69.0,71.0
1774,98.0,97.0
4963,93.0,93.0
3523,88.0,87.0
1237,94.0,93.0
4105,98.0,98.0
3431,87.0,89.0
7807,83.0,82.0
5432,94.0,95.0
6321,92.0,92.0
4250,92.0,93.0
7810,85.0,84.0
6086,65.0,66.0
7349,94.0,94.0
2588,93.0,93.0
5909,59.0,60.0
7395,68.0,66.0
6325,81.0,81.0
7360,80.0,80.0
2355,84.0,84.0
5841,69.0,72.0
143,73.0,70.0
2655,99.0,99.0
1974,71.0,73.0
4887,94.0,94.0
3822,73.0,73.0
4915,72.0,73.0
2194,81.0,80.0
7126,94.0,94.0
1722,90.0,91.0
6341,84.0,82.0
4456,95.0,95.0
4685,96.0,95.0
3410,78.0,79.0
875,80.0,81.0
3284,92.0,91.0
4426,95.0,95.0
3594,66.0,68.0
7595,89.0,90.0
1830,70.0,70.0
5867,96.0,95.0
7924,83.0,83.0
1670,89.0,89.0
4943,76.0,77.0
5743,88.0,87.0
4197,92.0,91.0
1484,82.0,81.0
1343,89.0,89.0
2951,91.0,91.0
4853,94.0,94.0
5787,77.0,75.0
6284,99.0,99.0
751,68.0,67.0
2249,81.0,84.0
1008,94.0,94.0
3402,79.0,80.0
472,87.0,85.0
4184,86.0,85.0
6201,94.0,94.0
3736,99.0,99.0
3774,98.0,98.0
5059,99.0,99.0
3978,88.0,89.0
6060,93.0,92.0
2048,96.0,96.0
2888,86.0,84.0
439,80.0,81.0
263,82.0,84.0
6510,93.0,93.0
5904,89.0,88.0
1715,83.0,85.0
5065,98.0,98.0
6589,94.0,94.0
6085,63.0,64.0
7447,78.0,74.0
7449,76.0,72.0
4443,85.0,83.0
121,98.0,98.0
1578,93.0,93.0
2611,84.0,86.0
7827,83.0,81.0
6339,89.0,90.0
7102,72.0,70.0
4166,89.0,89.0
2782,93.0,92.0
6228,94.0,95.0
496,73.0,74.0
3687,84.0,84.0
5694,78.0,80.0
