overspeed,accel,decel,stop,start,cluster,score
164,721,504,144,288,96,55
146,489,305,61,122,20,86
233,716,223,134,223,94,62
195,332,380,47,237,41,84
595,96,289,0,144,17,80
215,1059,1059,0,325,31,32
251,889,646,0,565,86,40
245,542,197,0,49,84,75
215,1029,494,82,247,95,50
135,767,426,42,170,36,69
159,1033,842,0,153,80,49
297,554,554,0,231,61,60
326,461,461,92,369,66,59
147,542,316,45,316,5,73
72,907,373,53,533,96,55
245,335,383,0,143,41,84
158,973,486,243,389,96,55
40,144,241,48,96,35,97
35,848,759,178,268,80,49
67,189,0,0,47,0,99
273,399,177,0,44,67,83
75,193,145,0,0,35,97
601,1129,564,94,141,27,39
98,1708,925,142,498,89,22
20,783,87,0,261,73,72
97,289,289,0,48,25,87
152,294,441,49,196,41,84
78,378,189,0,47,25,87
309,1248,707,124,457,86,40
203,95,286,47,191,60,89
465,1452,908,145,217,91,23
36,291,242,0,48,25,87
54,1186,395,65,428,22,48
201,377,471,47,141,41,84
74,1028,1079,154,514,31,32
381,335,335,0,143,28,71
312,931,784,196,539,86,40
158,336,144,0,144,25,87
420,1059,690,92,138,27,39
2,1401,494,329,989,33,38
88,232,139,0,46,35,97
161,528,749,176,440,83,66
117,433,192,96,96,25,87
151,873,597,91,505,96,55
158,390,438,0,48,41,84
1557,231,256,24,61,2,51
659,188,155,24,98,17,80
474,484,559,74,186,61,60
55,347,270,0,193,25,87
243,844,301,120,362,94,62
139,670,670,134,268,80,49
213,927,855,142,570,86,40
390,1442,1114,65,196,81,31
380,1192,564,125,313,95,50
287,1256,529,198,198,44,46
17,362,120,0,120,43,96
68,714,0,0,59,58,85
24,804,67,0,67,58,85
431,1740,1405,133,200,39,13
275,782,586,65,391,96,55
3119,76,138,0,27,72,20
2568,138,52,0,39,11,27
224,1244,1037,138,691,31,32
510,984,1181,196,328,31,32
79,918,524,0,262,50,57
186,1707,1211,55,605,89,22
148,1183,526,0,197,44,46
138,1150,431,71,143,50,57
273,1401,667,133,266,56,36
349,1063,465,66,332,95,50
377,1733,770,0,0,81,31
153,1313,472,52,315,22,48
721,1268,1268,200,333,91,23
77,996,398,0,0,50,57
2918,174,79,0,39,72,20
1092,107,161,13,40,65,74
491,161,138,0,23,17,80
384,140,23,0,0,90,95
459,69,69,23,69,75,91
240,869,668,0,200,80,49
313,1818,1038,0,194,81,31
1647,78,52,0,13,54,54
995,204,111,0,37,65,74
951,108,46,0,7,24,81
58,1461,132,0,332,63,53
351,2005,1069,133,200,39,13
77,1007,537,0,134,50,57
460,1667,1400,66,200,39,13
178,1398,223,55,55,40,63
279,145,48,9,29,15,93
435,416,277,34,0,28,71
73,383,230,76,0,25,87
2010,180,74,0,53,88,42
211,381,88,0,29,7,88
157,440,514,0,183,41,84
297,319,261,29,0,67,83
777,441,100,20,60,4,76
1348,133,50,6,31,77,64
2762,393,135,6,36,11,27
386,1068,601,133,400,27,39
521,1315,637,39,278,27,39
247,873,336,67,436,96,55
155,800,517,0,235,36,69
1614,158,60,0,12,54,54
45,1864,1009,155,776,89,22
1128,271,49,12,24,65,74
204,1472,936,66,267,81,31
452,828,165,0,220,21,65
1596,229,170,0,25,54,54
382,479,59,0,0,99,78
1971,430,443,26,52,51,34
32,1165,971,0,388,31,32
2771,614,366,39,148,11,27
1486,789,476,16,65,71,43
1407,319,186,26,53,2,51
367,325,244,0,27,67,83
467,309,344,103,206,28,71
40,683,281,40,362,5,73
532,412,240,34,68,28,71
430,1020,716,82,716,86,40
360,372,212,0,265,98,79
428,655,206,34,172,84,75
345,374,207,41,291,98,79
439,447,206,68,275,98,79
0,780,546,0,156,36,69
525,562,216,43,129,99,78
118,309,171,0,240,25,87
145,248,248,0,0,35,97
59,719,319,159,639,34,68
438,412,206,0,206,99,78
175,398,318,0,119,41,84
325,413,103,68,241,98,79
8,805,495,61,371,96,55
73,279,418,0,418,62,77
693,419,369,0,134,42,67
288,356,338,53,160,67,83
52,1163,249,0,498,74,56
6,847,169,169,508,73,72
194,584,171,34,240,84,75
226,826,196,39,236,94,62
558,584,275,0,206,46,58
3,537,335,67,201,5,73
127,312,156,78,156,25,87
277,517,207,34,276,84,75
327,354,248,35,70,67,83
362,517,241,34,241,84,75
248,375,187,0,46,67,83
58,852,658,38,193,80,49
92,551,206,0,344,16,82
117,417,417,0,83,41,84
185,943,580,72,290,50,57
426,413,206,34,172,99,78
362,697,394,60,364,66,59
71,734,0,113,508,34,68
0,782,97,97,587,34,68
146,621,138,34,345,16,82
35,676,238,39,278,5,73
262,516,275,0,344,66,59
217,620,454,82,165,61,60
138,446,240,0,274,5,73
28,396,132,0,66,43,96
267,1183,417,0,348,95,50
354,690,414,138,241,61,60
210,636,185,26,132,84,75
471,584,137,68,137,99,78
41,874,562,62,499,96,55
120,1097,548,91,640,86,40
460,655,296,84,338,66,59
362,551,231,71,231,84,75
219,344,431,114,172,41,84
296,604,479,229,437,66,59
359,478,325,95,287,66,59
427,581,373,124,311,66,59
532,644,708,150,300,61,60
309,363,229,134,153,67,83
415,460,439,146,418,66,59
1884,336,217,79,277,51,34
194,552,361,212,425,66,59
394,473,301,107,645,66,59
373,526,569,252,379,61,60
349,571,362,209,419,66,59
755,487,405,101,304,42,67
405,858,334,83,397,21,65
409,406,320,64,278,28,71
522,345,287,95,287,28,71
294,621,321,42,386,66,59
41,640,466,0,174,36,69
