overspeed,accel,decel,stop,start,cluster,score
8,805,495,61,371,73,54
73,279,418,0,418,43,84
693,419,369,0,134,38,66
288,356,338,53,160,91,78
52,1163,249,0,498,26,48
6,847,169,169,508,68,62
194,584,171,34,240,10,77
226,826,196,39,236,10,77
558,584,275,0,206,13,74
3,537,335,67,201,48,69
127,312,156,78,156,43,84
277,517,207,34,276,57,80
327,354,248,35,70,53,79
362,517,241,34,241,13,74
248,375,187,0,46,57,80
58,852,658,38,193,96,49
92,551,206,0,344,19,75
117,417,417,0,83,91,78
185,943,580,72,290,55,45
426,413,206,34,172,13,74
362,697,394,60,364,46,60
71,734,0,113,508,68,62
0,782,97,97,587,68,62
146,621,138,34,345,10,77
35,676,238,39,278,48,69
262,516,275,0,344,46,60
217,620,454,82,165,90,57
138,446,240,0,274,43,84
28,396,132,0,66,37,92
267,1183,417,0,348,95,52
354,690,414,138,241,90,57
210,636,185,26,132,10,77
471,584,137,68,137,64,73
41,874,562,62,499,73,54
120,1097,548,91,640,15,38
460,655,296,84,338,13,74
362,551,231,71,231,13,74
219,344,431,114,172,91,78
296,604,479,229,437,28,53
359,478,325,95,287,13,74
427,581,373,124,311,13,74
532,644,708,150,300,28,53
309,363,229,134,153,57,80
415,460,439,146,418,28,53
1884,336,217,79,277,36,43
194,552,361,212,425,28,53
394,473,301,107,645,46,60
373,526,569,252,379,28,53
349,571,362,209,419,28,53
755,487,405,101,304,32,42
405,858,334,83,397,46,60
409,406,320,64,278,53,79
522,345,287,95,287,53,79
294,621,321,42,386,46,60
41,640,466,0,174,45,65
20,957,622,0,47,99,56
6,720,196,0,65,31,82
44,488,488,81,81,31,82
89,636,347,57,173,31,82
170,600,75,150,150,33,85
100,182,121,0,60,16,97
40,511,191,63,127,14,91
59,317,238,79,158,43,84
13,1520,661,66,132,0,35
1054,170,113,0,18,77,72
2710,142,158,15,47,61,34
3,581,242,48,96,31,82
38,632,126,253,126,33,85
7,368,98,73,319,43,84
151,376,62,62,125,37,92
56,1536,73,73,219,6,44
536,268,345,38,76,38,66
212,262,174,174,87,43,84
34,574,402,114,516,75,71
8,874,491,54,0,99,56
695,183,235,26,26,18,76
53,202,162,40,40,44,95
335,68,68,0,45,80,96
68,410,164,0,82,14,91
121,650,325,0,0,31,82
27,110,0,55,55,47,99
37,509,582,145,364,87,51
142,471,67,0,0,84,86
3,344,0,68,137,37,92
58,1118,484,111,260,55,45
40,443,221,63,95,14,91
117,325,243,162,0,44,95
23,1121,420,0,140,55,45
18,1065,327,163,0,99,56
99,881,370,0,139,60,70
177,802,286,57,229,90,57
8,161,161,0,53,44,95
0,425,189,0,141,14,91
0,893,268,0,89,60,70
44,221,0,55,110,16,97
43,85,85,170,0,47,99
17,451,376,150,300,43,84
162,691,345,86,345,46,60
0,163,163,0,0,44,95
33,239,0,59,0,16,97
18,357,102,102,153,43,84
309,436,163,0,54,57,80
682,527,362,65,98,54,64
66,353,272,0,27,14,91
24,856,448,40,285,99,56
168,161,161,64,128,97,94
717,296,169,21,21,18,76
1060,212,88,0,17,77,72
8,609,304,33,236,48,69
14,280,210,70,70,14,91
97,608,465,35,358,48,69
50,782,558,55,223,96,49
116,322,322,0,0,44,95
27,250,125,62,62,14,91
1608,174,145,19,58,20,59
3,165,276,110,331,43,84
