overspeed,accel,decel,stop,start,dsi,score
0.0,1890.0,350.0,0.0,1365.0,3605.0,56.0
1.0,2016.0,183.0,92.0,1099.0,3391.0,59.0
2.0,731.0,417.0,52.0,991.0,2193.0,73.0
1.0,2007.0,287.0,0.0,1204.0,3499.0,57.0
16.0,1494.0,397.0,111.0,826.0,2844.0,65.0
0.0,898.0,539.0,120.0,1198.0,2755.0,67.0
0.0,1832.0,423.0,282.0,1080.0,3617.0,56.0
4.0,1631.0,690.0,0.0,815.0,3140.0,62.0
1.0,1494.0,254.0,127.0,1081.0,2957.0,64.0
3.0,737.0,164.0,82.0,491.0,1477.0,82.0
11.0,1348.0,511.0,186.0,418.0,2474.0,70.0
1.0,1068.0,915.0,229.0,1296.0,3509.0,57.0
32.0,1460.0,519.0,130.0,1135.0,3276.0,60.0
0.0,5920.0,871.0,0.0,1045.0,7836.0,5.0
311.0,1568.0,232.0,71.0,481.0,2663.0,68.0
78.0,1324.0,248.0,0.0,745.0,2395.0,71.0
203.0,1512.0,112.0,0.0,448.0,2275.0,72.0
162.0,601.0,75.0,150.0,375.0,1363.0,83.0
160.0,426.0,142.0,0.0,213.0,941.0,89.0
790.0,502.0,251.0,0.0,125.0,1668.0,80.0
113.0,1329.0,166.0,83.0,747.0,2438.0,70.0
628.0,1441.0,283.0,14.0,664.0,3030.0,63.0
1706.0,999.0,193.0,32.0,564.0,3494.0,58.0
573.0,650.0,520.0,65.0,390.0,2198.0,73.0
107.0,2575.0,405.0,147.0,957.0,4191.0,49.0
111.0,1747.0,624.0,166.0,957.0,3605.0,56.0
598.0,1017.0,436.0,48.0,533.0,2632.0,68.0
729.0,606.0,216.0,22.0,43.0,1616.0,80.0
1212.0,290.0,103.0,0.0,62.0,1667.0,80.0
32.0,1709.0,53.0,53.0,267.0,2114.0,74.0
1567.0,836.0,114.0,32.0,211.0,2760.0,66.0
88.0,2703.0,457.0,42.0,707.0,3997.0,51.0
474.0,482.0,241.0,0.0,201.0,1398.0,83.0
998.0,945.0,348.0,50.0,323.0,2664.0,68.0
459.0,377.0,63.0,0.0,377.0,1276.0,84.0
597.0,885.0,0.0,0.0,190.0,1672.0,80.0
3636.0,300.0,141.0,18.0,71.0,4166.0,49.0
253.0,1062.0,142.0,0.0,142.0,1599.0,81.0
411.0,439.0,88.0,22.0,66.0,1026.0,88.0
284.0,1082.0,361.0,60.0,361.0,2148.0,74.0
178.0,1863.0,402.0,73.0,694.0,3210.0,61.0
701.0,688.0,0.0,0.0,63.0,1452.0,82.0
174.0,2492.0,586.0,220.0,953.0,4425.0,46.0
144.0,562.0,14.0,14.0,154.0,888.0,89.0
1566.0,182.0,36.0,0.0,73.0,1857.0,77.0
