user,trip,accel,decel,stop,start,distance
1gQ03xU6GafMxm4nEgs42w1c00r2,1600474085754,5,7,0,1,97154.766
1gQ03xU6GafMxm4nEgs42w1c00r2,1600498017766,7,4,0,3,99123.7
1gQ03xU6GafMxm4nEgs42w1c00r2,1600579471974,7,0,0,4,14506.345
1gQ03xU6GafMxm4nEgs42w1c00r2,1600599384276,7,2,0,2,12093.31
1gQ03xU6GafMxm4nEgs42w1c00r2,1600980108867,2,3,0,2,166845.88
1gQ03xU6GafMxm4nEgs42w1c00r2,1600992801655,3,3,0,7,166726.56
1gQ03xU6GafMxm4nEgs42w1c00r2,1601084123646,2,1,0,3,39962.59
1gQ03xU6GafMxm4nEgs42w1c00r2,1601100975283,10,2,0,4,42741.39
1gQ03xU6GafMxm4nEgs42w1c00r2,1601523991399,5,7,0,1,30979.977
1gQ03xU6GafMxm4nEgs42w1c00r2,1601528720861,3,0,0,1,17762.814
1gQ03xU6GafMxm4nEgs42w1c00r2,1601770945690,5,2,0,7,95892.56
1gQ03xU6GafMxm4nEgs42w1c00r2,1601789144966,5,1,0,4,102883.19
1gQ03xU6GafMxm4nEgs42w1c00r2,1602206106083,3,0,0,6,13922.631
1gQ03xU6GafMxm4nEgs42w1c00r2,1602210479180,5,2,0,0,10225.24
1gQ03xU6GafMxm4nEgs42w1c00r2,1602214312431,2,0,0,1,10241.787
1gQ03xU6GafMxm4nEgs42w1c00r2,1602294962825,5,2,0,4,35348.49
1gQ03xU6GafMxm4nEgs42w1c00r2,1602309440144,5,5,0,7,24234.338
1gQ03xU6GafMxm4nEgs42w1c00r2,1602394500872,2,1,0,0,12452.222
1gQ03xU6GafMxm4nEgs42w1c00r2,1602406811729,5,0,0,1,46306.63
1gQ03xU6GafMxm4nEgs42w1c00r2,1602460369838,5,1,0,1,174963.81
1gQ03xU6GafMxm4nEgs42w1c00r2,1602472479218,4,0,0,3,27415.83
1gQ03xU6GafMxm4nEgs42w1c00r2,1602480524107,5,0,0,5,162640.61
1gQ03xU6GafMxm4nEgs42w1c00r2,1602814058722,13,4,0,4,62092.438
1gQ03xU6GafMxm4nEgs42w1c00r2,1603064497056,5,6,0,4,12392.917
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1597876583674,35,16,0,6,31274.557
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1597914229775,78,17,1,20,55656.812
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1597962535299,30,8,1,9,31260.361
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1598000798567,25,6,0,4,31597.285
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1598051469010,13,1,0,2,30111.63
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1598080323027,16,12,1,17,27104.797
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1598221565829,31,11,2,10,31502.74
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1598260007949,38,11,3,8,36367.773
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1598306917369,15,6,0,7,30983.158
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1598346168120,37,10,1,7,31581.43
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1598394584524,31,11,4,11,31264.97
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1598433108354,26,8,0,10,31376.818
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1598481550214,20,7,0,5,30945.613
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1598518963955,21,6,0,1,31701.72
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1598655903718,21,10,0,6,26589.342
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1598684740034,61,32,2,21,103466.94
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1598704064809,11,0,0,4,37877.79
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1598826996066,39,17,3,10,28873.998
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1598863699065,38,9,2,7,37562.832
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1598999970366,17,3,0,4,19837.176
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1599037468520,31,3,0,5,32452.281
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1599086194833,20,5,0,5,30827.473
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1599124049210,28,7,0,4,31783.7
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1599173609034,25,4,0,4,22334.457
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1599210355437,56,5,2,8,32215.217
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1599261190318,42,13,0,2,161111.3
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1599279813547,9,1,0,3,35540.387
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1599284882678,18,15,0,5,58173.49
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1599291353820,33,14,1,3,257566.34
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1599344180594,29,11,1,9,21711.441
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1599518018469,22,9,1,7,30577.746
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1599556022929,27,8,1,2,19981.697
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1599562414581,23,6,0,8,14183.592
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1599690597632,48,21,3,9,32270.34
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1599777555482,31,21,0,6,30179.48
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1599815125328,32,7,2,5,31506.86
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1599865689690,16,6,1,4,31105.959
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1599894472273,26,5,0,3,32545.459
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1599948502970,46,16,1,4,180843.62
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1599968212422,26,9,0,0,81483.77
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1599978781238,117,37,6,13,120186.36
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1600247204480,44,8,1,8,33557.95
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1600382497957,13,3,1,7,32572.318
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1600420519262,35,4,1,4,31545.666
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1600470192422,29,7,0,7,26668.043
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1600553223715,20,8,1,7,34429.977
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1600639943218,43,16,3,14,26350.281
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1600678967898,36,12,2,11,32473.305
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1600727625408,47,21,2,9,30183.182
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1600813901779,43,15,2,14,29716.32
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1600900093850,35,17,2,10,31529.596
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1600938468307,46,11,1,6,31496.477
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1601029574483,49,10,1,16,30770.068
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1601075476939,15,7,0,5,31138.303
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1601104040411,45,16,7,13,44619.96
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1601121242990,33,6,0,2,78382.42
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1601158059293,57,19,2,13,63860.234
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1601332727070,36,7,1,6,31601.836
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1601372702976,32,8,1,6,31752.967
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1601500501155,42,15,1,5,26707.715
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1601715885077,38,1,0,7,90821.07
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1601729003286,17,0,0,1,29802.441
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1601850578479,39,12,0,11,31229.64
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1601936687782,14,12,3,4,13536.858
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1601975492898,40,8,1,2,31575.803
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1602023718652,45,19,2,5,31306.479
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1602148694732,29,2,0,6,31465.355
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1602231631316,35,12,1,18,34900.156
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1602281776608,33,11,0,6,24863.81
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1602455146021,43,19,2,11,31324.846
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1602541251054,34,9,2,6,31204.912
